,SampleID,mAge_Hovath,mAge_Hannum,PhenoAge
266,200705360106_R03C01,36.9218506398625,42.5744218321283,22.1231229534239
267,200705360106_R04C01,38.0544943675849,41.1616793069956,19.7470993975126
268,200705360106_R05C01,43.3650779593677,47.526334014464,22.52636102375
269,200705360106_R06C01,42.7042268151428,49.6722199182862,22.1898393460989
270,200705360106_R07C01,56.1787626987491,61.8241339390839,42.6309709133049
271,200705360106_R08C01,54.908314631945,63.9390440829406,37.5522776376012
272,200705360003_R01C01,40.2956789970983,43.405861336676,23.0092174025026
273,200705360003_R02C01,33.8978689145081,41.7637516709239,18.3743471719602
274,200705360003_R03C01,59.4759391525838,59.8243049272144,40.7258226628575
275,200705360003_R04C01,54.835333465613,64.1863529296325,39.0107678764609
276,200705360003_R05C01,59.7485255556378,72.5576751841639,51.6676346654168
277,200705360003_R06C01,50.8919261886915,56.4419227032644,39.5750366095609
278,200705360003_R07C01,57.3880407220712,60.6586257597596,43.0902846689895
279,200705360003_R08C01,55.1753332726991,57.0053923972352,35.8071190242851
280,200693480153_R01C01,43.1960004318539,51.2608051093507,34.1792527787883
281,200693480153_R02C01,43.2955082556183,46.9433878118614,26.6240078499101
282,200693480153_R03C01,63.0785208523633,68.6329121003549,48.7479511880514
283,200693480153_R04C01,65.0714126247831,69.4566519484321,50.5327106493705
284,200693480153_R05C01,56.9745081522729,60.5718993035806,47.4633669705898
285,200693480153_R06C01,49.7586017168762,60.0413996969643,39.4534855555064
286,200693480153_R07C01,58.5799732353891,64.1519796791575,40.9498235498911
287,200693480153_R08C01,56.879858882911,61.6929026933755,43.0920559361518
288,200720130043_R01C01,55.410663896136,60.5909668649082,34.9558799266108
289,200720130043_R02C01,54.0600380043833,62.4538671037744,41.1836994946866
290,200720130043_R03C01,53.0605606857854,56.6022517504637,36.9996683684241
291,200720130043_R04C01,55.7909512488923,52.6704875469721,41.4348386230264
292,200720130043_R05C01,40.8579638296773,47.2542381288994,22.4574883227115
293,200720130043_R06C01,39.4991999777053,46.3244802309393,21.8080098953451
294,200720130043_R07C01,59.9475970170485,69.4002845935567,50.9864566928199
295,200720130043_R08C01,59.1315623173063,67.6871686576998,47.9262747210887
296,200720130024_R01C01,33.1946188062588,39.1894633266104,17.8113190837455
297,200720130024_R02C01,34.3594468476192,42.6805120429958,25.9741661598344
298,200720130024_R03C01,51.9316992015528,58.2697502492908,36.4514303778689
